,Rating,Star,Price
Lander Hotel Prince Edward,6.8,3,1303
Park Inn,7.4,1,724
L'hotel Causeway Bay Harbour View,8.1,4,2924
B & B Cheung Chau,7.8,3,913
Reliance International Guest House,5.2,1,1772
Stanley Oriental Hotel,8.0,4,
Hyatt Regency Hong Kong Tsim Sha Tsui,8.5,5,3249
Warwick Hotel Cheung Chau,7.2,3,1073
Best Western Grand Hotel Tsim Sha Tsui,6.6,4,1724
Hotel COZi Resort Tuen Mun,,4,1236
Metro Winner Hotel,7.7,3,1493
Minimal Hotel Bazaar,7.3,3,1717
Hop Inn on Carnarvon,8.3,1,
i-Hotel,6.4,1,
Citadines Ashley Hongkong,7.7,3,
Everest Inn Guest House,6.6,1,1114
Grand View Hotel,7.2,4,3101
Ibis Hong Kong Central & Sheung Wan,8.2,3,1506
Wing Sing Hong Guesthouse,7.1,1,595
Asia Inn (Causeway Bay),7.3,1,666
Ovolo Southside,8.5,4,
Central Luxe Signature Apartment,9.0,,
Homy Hotel Central,7.8,3,1246
Ridor Guesthouse,,1,
Boutique Apartment - TripX(Kowloon),8.9,,
Pearl Premium Guest House(10/F),7.1,1,
Lily Guest House,5.1,1,
WE Hotel,8.3,3,1327
Hong Kong Premium Guest House,7.6,1,
Mier Serviced Apartments,8.1,4,1870
Rambler Garden Hotel,6.2,3,1240
The Imperial Hotel,6.5,3,
3D Inn Hong Kong - Romance,7.2,1,698
G.Eyre Home,,,
Geo Home Holiday Hotel,7.6,1,1047
Hung Fai Guest House,7.1,1,557
Hotel MK,6.1,3,
May House,7.0,1,353
YHA Jockey Club Mt. Davis Youth Hostel,8.0,1,
The Bauhinia Hotel - Central,8.4,3,
Royal View Hotel,7.6,4,
The Bauhinia Hotel - Tsim Sha Tsui,8.2,3,
IW Hotel,7.7,3,
Sens Inn,4.8,1,
H1 Hotel,8.0,3,1396
Pandora After 80s @ Jordan,6.7,2,3877
City HK Guest House,6.2,1,738
Bayshore Inn,7.8,3,998
Sea View Holiday House,7.4,1,525
Hk Peace Guest House,8.5,1,886
Hong Kong City Break Inn,6.2,1,492
Hotel Skyview,6.7,1,
The Cove Hostel - Tong Fuk Octopus,,1,332
The Olympian Hong Kong,9.1,5,
Jing Kong City (Tsim Sha Tsui) Hotel,8.4,1,
Eco Tree Hotel,8.4,4,2280
HK Peaceful Guesthouse (B1),7.2,1,
Rambler Oasis Hotel,6.1,3,1240
Tian Jin Hostel,7.7,1,666
Legend Guest House,7.3,1,1245
Astronaut's Hotel,6.7,1,
The Salisbury - YMCA of Hong Kong,8.6,4,3017
Sohotel,8.3,4,
Silvermine Beach Resort,6.9,4,1373
Everest Base Camp Hostel,6.0,1,660
Tempo Inn@ David Mansion,7.8,1,
Tai Wah Hostel,7.6,1,
The Cove Hostel - Tong Fuk Sea Lion,,1,
Yan Yan Guest House,5.8,1,
Minute Hotel,7.4,1,
3D Inn Hong Kong - Dragon,7.0,1,2685
Global Inn,5.3,1,
Sleep In Hotel,8.5,1,1025
Hop inn On Nathan Road,8.7,1,
E-Dragon Hotel,6.9,1,
A-Inn Hong Kong,7.3,1,452
Swiss Hostel,6.1,1,
Lung Ma Apartment,,,
Tempo Inn - Cozy@National Court,7.8,1,
Gloria Guest House,6.0,1,
Pandora Inn @Jordan,7.0,2,2114
"Paris Guest House (D2, 10/F)",6.0,1,836
Canada Hotel,7.1,1,433
Tai Wah Boutique Hostel,7.9,1,
Mandarin Oriental Hong Kong,9.3,5,
Noah's Ark Resort,7.2,3,
New London Hostel,5.5,1,623
TST 3bed+2bath near MTR,,,
Hi-Inn,6.3,1,
Everest Hostel,6.1,1,457
Australian Guest House,6.8,1,1022
BEST WESTERN PLUS Hotel Hong Kong,7.5,4,1827
Aashiana Hotel,7.6,1,492
Kowloon TST Guest House,6.1,1,621
Comfort Guest House,7.2,1,903
YHA Ngong Ping SG Davis Youth Hostel,7.3,1,
Modern Hotel,8.4,2,1050
Tom's Guest House,7.9,1,
Budget Hostel,7.2,1,
Hoi To Hostel,7.7,1,666
Cosmic Guest House,6.1,1,493
Narli Guest House,6.4,1,1245
Blue Angel Apartment,,,
International Inn,6.7,1,664
The Upper House,9.3,5,
Om Guest House,5.8,1,2213
The Landmark Mandarin Oriental Hong Kong,9.2,5,
Gold Sparrow Hotel,6.7,1,
Hotel Venus,6.4,1,
Mulberry Hotel,4.7,1,
South & North House,7.2,1,531
Asia Travel House,7.7,1,693
HK Nathan House @4/F,7.3,1,636
KK Guesthouse,7.2,1,
Vela Boutique Hotel,7.1,4,
Kwong Hang Travel Guesthouse,8.6,1,994
Beverly Guest House,7.8,1,949
Luxury Apartment 1 by Lyna,,1,
California Hotel,6.3,2,1530
New Garden Hostel,6.1,1,604
K & B Hostel,7.4,1,
Hotel Madera Hollywood,9.0,5,4802
Days Hotel,5.8,1,727
Joyous Guest House,7.2,1,903
Apartment Kapok,8.1,3,
V inn,6.8,1,540
YHA Bradbury Jockey Club Youth Hostel,7.7,1,
Sandhu Hotel,7.1,2,1191
Li’s Chain Hostel,4.2,1,1115
Ah Shan Hostel,7.4,1,659
Melbourne Hostel,5.9,1,776
Dhillon Hotel,5.8,1,760
Germany Hostel,6.1,1,805
Harbourside Hong Kong,9.0,,
Canadian Hostel,5.4,1,1068
Tokyo Hostel,7.1,1,1187
Victoria Hotel,8.7,2,1106
Russian Hostel,5.9,1,1291
Bohol Hotel,6.0,1,840
Galaxy Hotel,6.1,2,1092
Sydney Hostel,6.8,1,663
Pandora After 80s Hotel CWB,7.2,2,2843
Hotel Skycity,6.2,1,
Orchid Inn,7.2,1,
Toronto Motel,7.0,1,801
HK Star Hostel,4.1,1,1078
Asia Inn,7.5,1,516
Icon Inn,6.9,1,
J's Inn,6.8,1,738
European Hostel,6.6,1,1037
Marrigold Hostel,6.4,1,544
Crystal Hostel,5.7,1,865
New Yan Yan Guest House,6.9,1,
New Guangzhou Guest House,5.7,1,
As One Hotel,7.7,1,
Rosewood Hong Kong,,5,7827
Prestige Guesthouse,5.7,1,
Kowloon New Hostel,6.2,1,
Happy Bee Hostel,,1,1240
attitude on granville,8.4,4,
Smiley Inn,6.7,1,802
HK International Hostel,6.6,1,961
Castle Inn,6.1,1,
Kamal Traveller Hostel,6.2,1,852
New Tokyo Hostel,6.6,1,1278
Motel Happy Peach,8.0,1,1573
Manila Hotel,5.7,1,798
Cebu Hostel,6.1,1,
Apartment by Iri,,,
Mojo Nomad Central - Community,,3,
Pacific Guest House,,1,643
Hoho Hostel,8.2,1,
Starpacker,9.1,1,
Roomlord - Capsule Hotel (Formerly Vee Inn),,2,1164
Hi Backpackers (Hong Kong Hostel Group),7.5,1,
Sleeep,8.9,2,
Wontonmeen,8.7,1,
Hua Home Stay,,,
Daxiong Hotel,8.3,1,
Moment Hostel,8.3,1,
